ThongTinID	TongDiem
BD1200199		26.55
BD1200200		37.6
BD1200201		36.3
BD1200202		35.3
BD1200203		37.8
BD1200204		31.6
BD1200205		33.1
BD1200206		22.25
BD1200207		29.5
BD1200208		28.2
BD1200209		43.1
BD1200210		25.85
BD1200211		30.3
BD1200212		26.5
BD1200213		35.4
BD1200214		33.25
BD1200215		46.25
BD1200216		30.15
BD1200217		32.6
BD1200218		35.35
BD1200219		41.5
BD1200220		8.2
BD1200221		35.2
BD1200222		40.3
BD1200223		37.95
BD1200224		42.4
BD1200225		34.75
BD1200226		33.15
BD1200227		31.7
BD1200228		18.05
BD1200229		28.55
BD1200230		32.7
BD1200231		29.85
BD1200232		34.8
BD1200233		32.6
BD1200234		27.45
BD1200235		24.7
BD1200236		32.3
BD1200237		35.4
BD1200238		32.55
BD1200239		42.1
BD1200240		35.6
BD1200241		29.05
BD1200242		40.9
BD1200243		33
BD1200244		42.35
BD1200245		36.4
BD1200246		34.8
BD1200247		27
BD1200248		34
BD1200249		40.75
BD1200250		29.45
BD1200251		29.4
BD1200252		39.9
BD1200253		34.75
BD1200254		9.45
BD1200255		29.6
BD1200256		29.5
BD1200257		35.7
BD1200258		35.75
BD1200259		24.3
BD1200260		36.5
BD1200261		35.45
BD1200262		32.9
BD1200263		23.75
BD1200264		24.4
BD1200265		35.35
BD1200266		30.05
BD1200267		25
BD1200268		39.5
BD1200269		17.2
BD1200270		31
BD1200271		52.2
BD1200272		31.05
BD1200273		35.95
BD1200274		31.05
BD1200275		34.9
BD1200276		38.15
BD1200277		31.05
BD1200278		38.25
BD1200279		30.35
BD1200280		35.95
BD1200281		29.2
BD1200282		33.1
BD1200283		57.1
BD1200284		39.3
BD1200285		34.75
BD1200286		28.65
BD1200287		30.1
BD1200288		36.8
BD1200289		16.35
BD1200290		31.25
BD1200291		57.85
BD1200292		30.7
BD1200293		37.05
BD1200294		36
BD1200295		34.3
BD1200296		29.6
BD1200297		33.15
BD1200298		44
BD1200299		34.85
BD1200300		22.85
BD1200301		31.85
BD1200302		36.5
BD1200303		60.35
BD1200304		31.85
BD1200305		45.85
BD1200306		34.3
BD1200307		36.45
BD1200308		35.55
BD1200309		40.7
BD1200310		30.8
BD1200311		37.55
BD1200312		28.55
BD1200313		30
BD1200314		32.5
BD1200315		27.4
BD1200316		28.8
BD1200317		26.45
BD1200318		32.95
BD1200319		37.95
BD1200320		35.05
BD1200321		36.2
BD1200322		30.4
BD1200323		32.75
BD1200324		25.3
BD1200325		33.85
BD1200326		38.85
BD1200327		32.45
BD1200328		39.65
BD1200329		29.7
BD1200330		33.55
BD1200331		24.25
BD1200332		38.3
BD1200333		40.75
BD1200334		35.65
BD1200335		22.2
BD1200336		27.15
BD1200337		44.3
BD1200338		35.7
BD1200339		41.9
BD1200340		33.65
BD1200341		37.6
BD1200342		20.9
BD1200343		31.9
BD1200344		39.15
BD1200345		38.55
BD1200346		35.3
BD1200347		30.8
BD1200348		40.55
BD1200349		37.8
BD1200350		36.7
BD1200351		29.65
BD1200352		28.9
BD1200353		34.85
BD1200354		30.75
BD1200355		23.6
BD1200356		36.4
BD1200357		28.45
BD1200358		19.85
BD1200359		30.05
BD1200360		32.95
BD1200361		32.8
BD1200362		39.4
BD1200363		52.2
BD1200364		26.05
BD1200365		27.65
BD1200366		32.25
BD1200367		30.3
BD1200368		39.05
BD1200369		39
BD1200370		47.6
BD1200371		29.85
BD1200372		36.15
BD1200373		32.9
BD1200374		25.2
BD1200375		34.05
BD1200376		40.7
BD1200377		45.1
BD1200379		40
BD1200380		27.35
BD1200381		41.85
BD1200382		33.3
BD1200383		31
BD1200384		42.75
BD1200385		27.5
BD1200386		29.85
BD1200387		23.15
BD1200388		31.25
BD1200389		42.2
BD1200390		38.8
BD1200391		23.5
BD1200392		31.85
BD1200393		35.1
BD1200394		33.5
BD1200395		22.75
BD1200396		33.15
BD1200397		25.85
BD1200398		24.25
BD1200399		36.35
BD1200400		44.1
BD1200401		37.85
BD1200402		27.95
BD1200403		39.7
BD1200404		41.05
BD1200405		39.75
BD1200406		42.9
BD1200407		21.8
BD1200408		35.25
BD1200409		39.25
BD1200410		30.3
BD1200411		35.4
BD1200412		21.45
BD1200413		30.15
BD1200414		36.65
BD1200415		36.25
BD1200416		51.6
BD1200417		40.65
BD1200418		29.4
BD1200419		26.5
BD1200420		36.9
BD1200421		34
BD1200422		36.85
BD1200423		39.85
BD1200424		30.15
BD1200425		33.45
BD1200426		27.75
BD1200427		36.2
BD1200428		33.85
BD1200429		32.15
BD1200430		33.45
BD1200431		42.7
BD1200432		40.45
BD1200433		31.3
BD1200434		36.95
BD1200435		36.1
BD1200436		33.55
BD1200437		49.55
BD1200438		33.1
BD1200439		36.9
BD1200440		30.25
BD1200441		31.15
BD1200442		36.9
BD1200443		33.9
BD1200444		34.6
BD1200445		42.25
BD1200446		33
BD1200447		28.75
BD1200448		37.7
BD1200449		36.55
BD1200450		40.85
BD1200451		27.25
BD1200452		23.05
BD1200453		27.9
BD1200454		34.3
BD1200455		32.5
BD1200456		24.4
BD1200457		36.05
BD1200458		22.9
BD1200459		29.1
BD1200460		35.6
BD1200461		32.45
BD1200462		34.75
BD1200463		43.15
BD1200464		36.15
BD1200465		33.45
BD1200466		38.35
BD1200467		32.45
BD1200468		33.8
BD1200469		37.05
BD1200470		40.1
BD1200471		33.55
BD1200472		38.55
BD1200473		19.75
BD1200474		40.35
BD1200475		36.9
BD1200476		32.1
BD1200477		27.5
BD1200478		21.95
BD1200479		31.1
BD1200480		35.35
BD1200481		26.3
BD1200482		38.35
BD1200483		32.3
BD1200484		37.5
BD1200485		37.55
BD1200486		33.9
BD1200487		36.55
BD1200488		28.4
BD1200489		24.45
BD1200490		35.85
BD1200491		30.05
BD1200492		37.35
BD1200493		30.5
BD1200494		37
BD1200495		29
BD1200496		44.95
BD1200497		31
BD1200498		35.7
BD1200499		26.85
BD1200500		32.5
BD1200501		34.2
BD1200502		31.9
BD1200503		26.9
BD1200504		37.2
BD1200505		33.2
BD1200506		29.45
BD1200507		36.5
BD1200508		42.35
BD1200509		31.25
BD1200510		42.25
BD1200511		22.9
BD1200512		26.55
BD1200513		52.9
BD1200514		38.05
BD1200515		22.1
BD1200516		25.9
BD1200517		27.25
BD1200518		30.55
BD1200519		36.85
BD1200520		37.6
BD1200521		24.9
BD1200522		38.35
BD1200523		11.5
BD1200524		22.35
BD1200525		50
BD1200526		33
BD1200527		41.35
BD1200528		38.3
BD1200529		36
BD1200531		36.65
BD1200532		26.75
BD1200533		39.85
BD1200534		31.35
BD1200535		36.5
BD1200536		37.3
BD1200537		39.85
BD1200538		39.35
BD1200539		37.3
BD1200540		35.35
BD1200541		38.4
BD1200542		30.95
BD1200543		34.85
BD1200544		31.2
BD1200545		27.8
BD1200546		35.55
BD1200547		36.1
BD1200548		28.2
BD1200549		31.65
BD1200550		32.65
BD1200551		30.55
BD1200552		35.3
BD1200553		33.25
BD1200554		19.8
BD1200555		36.5
BD1200556		26.35
BD1200557		22.15
BD1200558		37.35
BD1200559		35.05
BD1200560		35.05
BD1200561		35.05
BD1200562		44.6
BD1200563		36.05
BD1200564		42.8
BD1200565		28.2
BD1200566		40.8
BD1200567		31.5
BD1200568		36.5
BD1200569		30.1
BD1200570		12.15
BD1200571		44.75
BD1200572		27.25
BD1200573		30.45
BD1200574		32.15
BD1200575		26.9
BD1200576		32.5
BD1200577		33.05
BD1200578		41.1
BD1200579		39.2
BD1200580		24.75
BD1200581		32.15
BD1200582		30.9
BD1200583		37.6
BD1200584		40.15
BD1200585		36.95
BD1200586		40.1
BD1200587		41.9
BD1200588		30.65
BD1200589		28.4
BD1200590		54.6
BD1200591		35.5
BD1200592		35.45
BD1200593		44.85
BD1200594		33.75
BD1200595		21.8
BD1200596		36.3
BD1200597		27.9
BD1200598		31.1
BD1200599		35.2
BD1200600		24.75
BD1200601		37.15
BD1200602		30.65
BD1200603		43.5
BD1200604		27.75
BD1200605		33.55
BD1200606		31.6
BD1200607		28.85
BD1200608		29.75
BD1200609		36.1
BD1200610		29.95
BD1200611		47.45
BD1200612		26.7
BD1200613		11.25
BD1200614		44.1
BD1200615		32.4
BD1200616		30.8
BD1200617		36.8
BD1200618		33.5
BD1200619		28.3
BD1200620		19.65
BD1200621		38.75
BD1200623		31.4
BD1200624		35.7
BD1200625		33.4
BD1200626		38.15
BD1200627		25.6
BD1200628		18.2
BD1200629		30.95
BD1200630		43.65
BD1200631		31.9
BD1200632		33.2
BD1200633		30.25
BD1200634		35.3
BD1200635		32.35
BD1200636		45.2
BD1200637		39.85
BD1200638		37.35
BD1200639		33.4
BD1200640		28.15
BD1200641		35.5
BD1200642		29.15
BD1200643		30.05
BD1200644		38.65
BD1200645		37.3
BD1200646		38.3
BD1200647		28
BD1200648		30
BD1200649		34.45
BD1200650		12.7
BD1200651		19.05
BD1200652		28.95
BD1200653		42.05
BD1200654		31.75
BD1200655		40.4
BD1200656		34.45
BD1200657		22.35
BD1200658		25.05
BD1200659		33.45
BD1200661		31.1
BD1200662		16.45
BD1200663		42.4
BD1200664		40.05
BD1200665		20.8
BD1200666		28.8
BD1200667		26.25
BD1200668		23.8
BD1200669		33.85
BD1200670		37.35
BD1200671		39.85
BD1200672		41.15
BD1200673		36.15
BD1200674		43.75
BD1200675		28.6
BD1200676		40.45
BD1200677		35.65
BD1200678		33.7
BD1200679		30.1
BD1200680		38.25
BD1200681		33.05
BD1200682		36.5
BD1200683		45.05
BD1200684		38.25
BD1200685		31
BD1200686		38.05
BD1200687		47.9
BD1200688		34.9
BD1200689		47.15
BD1200690		41.85
BD1200691		23
BD1200692		30
BD1200693		12.5
BD1200694		42.85
BD1200695		47.6
BD1200696		44.8
BD1200697		31.65
BD1200698		38.2
BD1200699		26.65
BD1200700		34.95
BD1200701		25.7
BD1200702		28.55
BD1200703		36.95
BD1200704		27.45
BD1200705		28.8
BD1200706		25.8
BD1200707		40.8
BD1200708		40
BD1200709		39.4
BD1200710		37
BD1200711		30
BD1200712		30.35
BD1200713		41.35
BD1200714		35.3
BD1200715		25.65
BD1200716		30.9
BD1200717		30.85
BD1200718		48.65
BD1200719		31.15
BD1200720		34.75
BD1200721		48.75
BD1200722		24.6
BD1200723		34.2
BD1200724		29.75
BD1200725		38.85
BD1200726		53
BD1200727		31.95
BD1200728		38.65
BD1200729		29.95
BD1200730		37.4
BD1200731		23.5
BD1200732		25.95
BD1200733		35.35
BD1200734		35.55
BD1200735		38.1
BD1200736		30.45
BD1200737		28.65
BD1200738		26.35
BD1200739		37.5
BD1200740		31.9
BD1200741		35.95
BD1200742		32
BD1200743		34.1
BD1200744		32.45
BD1200745		21.15
BD1200746		24.2
BD1200747		43.5
BD1200748		34.65
BD1200749		37.8
BD1200750		34.15
BD1200751		35.2
BD1200752		36.6
BD1200753		34.4
BD1200754		27.15
BD1200755		13.2
BD1200756		30.2
BD1200757		31.3
BD1200758		18.35
BD1200759		39.1
BD1200760		35.3
BD1200761		30.65
BD1200762		37.05
BD1200763		27.4
BD1200764		30.3
BD1200765		19.7
BD1200766		55.3
BD1200767		42.35
BD1200768		52.2
BD1200769		27.05
BD1200770		31.15
BD1200771		31.1
BD1200772		40.3
BD1200773		39.3
BD1200774		29.2
BD1200775		36.9
BD1200776		32.15
BD1200777		38
BD1200778		52.05
BD1200779		44.55
BD1200780		34.35
BD1200781		14.25
BD1200782		38.75
BD1200783		34.3
BD1200784		28.95
BD1200785		31.95
BD1200786		13.3
BD1200787		41.3
BD1200788		43.6
BD1200789		22.6
BD1200790		33.9
BD1200791		40.85
BD1200792		33.3
BD1200793		47.65
BD1200794		35
BD1200795		39.1
BD1200796		41.45
BD1200797		40.1
BD1200798		32.9
BD1200799		35.25
BD1200800		33.55
BD1200801		30.5
BD1200802		33.9
BD1200803		38.1
BD1200804		35.1
BD1200805		21.5
BD1200806		30.95
BD1200807		17.8
BD1200808		44.85
BD1200809		46.1
BD1200810		33.45
BD1200811		28.75
BD1200812		24.9
BD1200813		38.55
BD1200814		26.7
BD1200815		12.6
BD1200816		37.75
BD1200817		30.25
BD1200818		29.45
BD1200819		41.05
BD1200820		8.95
BD1200821		34.4
BD1200822		36.4
BD1200823		22.6
BD1200824		42
BD1200825		41.6
BD1200826		24.3
BD1200827		31.95
BD1200828		36.9
BD1200829		29.1
BD1200830		28.55
BD1200831		39.7
BD1200832		23.8
BD1200833		33.2
BD1200834		37.4
BD1200835		46.3
BD1200836		29.35
BD1200837		43.65
BD1200838		34.65
BD1200839		50.1
BD1200840		32.2
BD1200841		30.3
BD1200843		36.95
BD1200844		30
BD1200845		36.7
BD1200846		36.8
BD1200847		36.15
BD1200848		35.35
BD1200849		28.1
BD1200851		43.65
BD1200852		31.55
BD1200853		40.75
BD1200854		34.2
BD1200855		34.2
BD1200856		44.85
BD1200857		25.35
BD1200858		34.85
BD1200859		38.9
BD1200860		32.4
BD1200861		45.85
BD1200862		23.65
BD1200863		38.95
BD1200864		25.3
BD1200865		38.1
BD1200866		37.5
BD1200867		32
BD1200868		39.35
BD1200869		46.4
BD1200870		31.4
BD1200871		32
BD1200872		30.9
BD1200873		40.9
BD1200875		25.15
BD1200876		37.15
BD1200877		20.3
BD1200878		32.45
BD1200879		30.05
BD1200880		37.85
BD1200881		38.2
BD1200882		21.2
BD1200883		29.7
BD1200884		34.45
BD1200885		26.6
BD1200886		35.8
BD1200887		35.95
BD1200888		42.35
BD1200889		30.75
BD1200890		40.3
BD1200891		27.2
BD1200892		42.7
BD1200893		36.5
BD1200894		27.3
BD1200895		22.3
BD1200896		24.1
BD1200897		22.25
BD1200898		32.9
BD1200899		37.1
BD1200900		43.3
BD1200901		35
BD1200902		38.25
BD1200903		20.35
BD1200904		44.75
BD1200905		24.7
BD1200906		33.15
BD1200907		28.8
BD1200908		32.3
BD1200909		21.85
BD1200910		28.75
BD1200911		40.5
BD1200912		25.15
BD1200913		34.1
BD1200914		38.65
BD1200915		36
BD1200916		43.4
BD1200917		31.15
BD1200918		28.8
BD1200919		40
BD1200920		30.7
BD1200921		32.35
BD1200922		37.9
BD1200923		25.05
BD1200924		36.8
BD1200925		22.55
BD1200926		12.6
BD1200927		33.5
BD1200928		36.35
BD1200929		16.7
BD1200930		27.7
BD1200931		27
BD1200932		38.55
BD1200933		40.55
BD1200934		25.7
BD1200935		37.55
BD1200936		35.55
BD1200937		30.8
BD1200938		30.45
BD1200939		25.75
BD1200941		36.3
BD1200942		34.95
BD1200943		38.9
BD1200944		18
BD1200945		34.15
BD1200946		38.65
BD1200947		28.55
BD1200948		35.15
BD1200949		33.4
BD1200950		40.05
BD1200951		40.8
BD1200952		29.45
BD1200953		24.35
BD1200954		30.65
BD1200955		55.2
BD1200956		38.8
BD1200957		35.8
BD1200959		38.85
BD1200960		22.3
BD1200961		27.2
BD1200962		23.6
BD1200963		43.6
BD1200964		52.55
BD1200965		37.85
BD1200966		27.9
BD1200967		41.6
BD1200968		28.5
BD1200969		28.55
BD1200970		27.55
BD1200971		36.9
BD1200972		33.85
BD1200973		30.65
BD1200974		28.9
BD1200975		36.6
BD1200976		27.75
BD1200977		34.15
BD1200978		34.1
BD1200979		33.75
BD1200980		27.05
BD1200981		37.15
BD1200982		34.45
BD1200983		33.55
BD1200984		36.25
BD1200985		33.45
BD1200986		27.9
BD1200987		30.1
BD1200988		48.95
BD1200989		19.75
BD1200990		42.55
BD1200991		37.1
BD1200992		28.15
BD1200993		33.65
BD1200994		32.3
BD1200995		34.55
BD1200996		28.75
BD1200997		30.25
BD1200998		34.3
BD1200999		19.8
BD1201000		26.7
BD1201001		37.9
BD1201002		42.15
BD1201003		38.5
BD1201004		35.75
BD1201005		15.45
BD1201006		35.15
BD1201007		55.4
BD1201008		20.95
BD1201009		34.15
BD1201010		43.1
BD1201011		31.75
BD1201012		39.2
BD1201013		34.3
BD1201014		33.75
BD1201015		46.25
BD1201016		27.45
BD1201017		36.65
BD1201018		33.95
BD1201020		30.65
BD1201021		34.85
BD1201022		31.7
BD1201023		26.6
BD1201024		29.15
BD1201025		34.9
BD1201026		31.9
BD1201027		34.95
BD1201028		42.2
BD1201029		25.1
BD1201030		36.1
BD1201031		42.8
BD1201032		11.8
BD1201033		34
BD1201034		21.95
BD1201035		29.15
BD1201036		30.2
BD1201037		31.1
BD1201038		42
BD1201039		31.5
BD1201040		38.85
BD1201041		30.75
BD1201042		34.7
BD1201043		32.05
BD1201044		35.15
BD1201045		30.85
BD1201046		42.25
BD1201047		27.95
BD1201048		39.2
BD1201049		33.3
BD1201050		42.25
BD1201051		40.4
BD1201052		34.5
BD1201053		36.95
BD1201054		25.9
BD1201055		43.95
BD1201056		25.65
BD1201057		35.95
BD1201058		33.25
BD1201059		24.4
BD1201060		40.55
BD1201061		52.1
BD1201062		40.4
BD1201063		33
BD1201064		43.6
BD1201065		38.15
BD1201066		23.35
BD1201067		41.4
BD1201068		28.1
BD1201069		31.2
BD1201071		40.75
BD1201072		34.9
BD1201073		32.8
BD1201074		36.3
BD1201075		25.65
BD1201076		46.5
BD1201077		29.9
BD1201078		30.4
BD1201079		30.1
BD1201080		37.6
BD1201081		40.65
BD1201082		32.95
BD1201083		36.85
BD1201084		37.6
BD1201085		45.5
BD1201086		43
BD1201087		37.6
BD1201088		28.85
BD1201089		38.6
BD1201090		27.45
BD1201091		39
BD1201092		28.95
BD1201093		46.85
BD1201094		48.1
BD1201095		26.8
BD1201096		35.75
BD1201097		23.45
BD1201098		30.05
BD1201099		43.4
BD1201100		37.95
BD1201101		30.65
BD1201102		43
BD1201103		43.8
BD1201104		32.7
BD1201105		41.3
BD1201106		10.6
BD1201107		33.05
BD1201108		40.05
BD1201109		26.7
BD1201110		23.4
BD1201111		34.55
BD1201112		23.25
BD1201113		26.9
BD1201114		35.75
BD1201115		36.5
BD1201116		34.6
BD1201117		60.6
BD1201118		31.55
BD1201119		28.65
BD1201120		29.95
BD1201121		44.15
BD1201122		43.15
BD1201123		28.55
BD1201124		28.7
BD1201125		30.95
BD1201126		47.9
BD1201127		34.7
BD1201128		29.45
BD1201129		39.75
BD1201130		29.75
BD1201131		35.35
BD1201132		50.65
BD1201133		27.65
BD1201134		35.3
BD1201135		36.9
BD1201136		39.65
BD1201137		22.6
BD1201138		33.5
BD1201139		47.2
BD1201140		46.4
BD1201141		41.7
BD1201142		29.65
BD1201143		35.9
BD1201144		29.65
BD1201145		30.4
BD1201146		41.8
BD1201147		47.45
BD1201148		25.4
BD1201149		27.9
BD1201150		34.25
BD1201151		31.55
BD1201152		13.35
BD1201153		37.2
BD1201154		34.3
BD1201155		50.6
BD1201156		39.85
BD1201157		38.6
BD1201158		37
BD1201159		34.65
BD1201160		35
BD1201161		38.25
BD1201162		22.25
BD1201163		32.95
BD1201164		31.75
BD1201165		35.2
BD1201166		44.1
BD1201167		35.85
BD1201168		36.8
BD1201169		48.4
BD1201170		39.6
BD1201171		33.2
BD1201172		35.8
BD1201173		46.05
BD1201174		32.1
BD1201175		41.05
BD1201176		45.6
BD1201177		51.65
BD1201178		34.9
BD1201179		32.15
BD1201180		39.25
BD1201181		25.45
BD1201182		40.4
BD1201183		38.25
BD1201184		33.85
BD1201185		58.4
BD1201186		29.15
BD1201187		34.95
BD1201188		35.1
BD1201189		38.5
BD1201190		24.8
BD1201191		28
BD1201192		29.2
BD1201193		35.75
BD1201194		40.6
BD1201195		34.35
BD1201196		22.8
BD1201197		30.2
BD1201198		28.3
BD1201199		33.85
BD1201200		38.9
BD1201201		35.65
BD1201202		31.7
BD1201203		15.25
BD1201204		38.7
BD1201205		41.15
BD1201206		22.5
BD1201207		30
BD1201208		44.7
BD1201209		33.1
BD1201210		31.75
BD1201211		12.75
BD1201212		39
BD1201213		34.05
BD1201214		27.4
BD1201215		26.8
BD1201216		23.55
BD1201217		33.35
BD1201218		32.7
BD1201219		40.85
BD1201220		26.6
BD1201221		32.8
BD1201222		36.75
BD1201223		38.45
BD1201224		27.05
BD1201225		37.4
BD1201226		34.85
BD1201227		43.8
BD1201228		30.1
BD1201229		33.7
BD1201230		34.1
BD1201231		41
BD1201232		29.75
BD1201233		38.2
BD1201234		25.6
BD1201235		39.9
BD1201236		27.15
BD1201237		41.35
BD1201238		34.05
BD1201239		29.65
BD1201240		26.8
BD1201241		42.7
BD1201242		38.4
BD1201243		36
BD1201244		31.9
BD1201245		20.35
BD1201246		26.6
BD1201247		32.15
BD1201248		31.25
BD1201249		33.2
BD1201250		47.85
BD1201251		45.8
BD1201252		24.2
BD1201253		44.4
BD1201254		28.8
BD1201255		33.45
BD1201256		30.4
BD1201257		10.1
BD1201258		38.3
BD1201259		38.55
BD1201260		34.45
BD1201261		37.1
BD1201262		30.3
BD1201263		34.1
BD1201264		33.95
BD1201265		42.8
BD1201266		23.35
BD1201267		38.6
BD1201268		14.55
BD1201269		29.65
BD1201270		32.6
BD1201271		36.6
BD1201272		35.25
BD1201273		33.15
BD1201274		21.35
BD1201275		24.95
BD1201276		37.5
BD1201277		38
BD1201278		32.1
BD1201279		29.9
BD1201280		31.65
BD1201281		36.75
BD1201282		36.05
BD1201283		26.15
BD1201284		39.35
BD1201285		35.15
BD1201286		30.85
BD1201287		27.6
BD1201288		16.05
BD1201289		34.25
BD1201290		40.4
BD1201291		27.05
BD1201292		31.75
BD1201293		40
BD1201294		32
BD1201295		39.85
BD1201296		32.7
BD1201297		35.45
BD1201298		36.1
BD1201299		28.4
BD1201300		53.2
BD1201301		38.1
BD1201302		31.3
BD1201303		35.65
BD1201304		34.55
BD1201305		31.75
BD1201306		25.9
BD1201307		36.9
BD1201308		29.2
BD1201309		42.5
BD1201310		43.55
BD1201311		39.6
BD1201312		32.1
BD1201313		29.85
BD1201314		26.9
BD1201315		36.2
BD1201316		22.85
BD1201317		36.3
BD1201318		9.8
BD1201319		41.85
BD1201320		35.5
BD1201321		33
BD1201322		25.7
BD1201323		34.45
BD1201324		29.65
BD1201325		32.9
BD1201326		34.95
BD1201327		34.85
BD1201328		39.6
BD1201329		32.5
BD1201330		39.55
BD1201331		22.85
BD1201332		37.15
BD1201333		33.7
BD1201334		29.1
BD1201335		32.55
BD1201336		8.8
BD1201337		48.6
BD1201338		33.95
BD1201339		54.8
BD1201340		25.55
BD1201341		32.7
BD1201342		28.15
BD1201343		35.9
BD1201344		9.25
BD1201345		44.2
BD1201346		28.05
BD1201347		37.6
BD1201348		32.1
BD1201349		25.35
BD1201350		31.7
BD1201351		48.8
BD1201352		36
BD1201353		36.35
BD1201354		26.2
BD1201355		31.95
BD1201356		43.25
BD1201357		28.1
BD1201358		29.05
BD1201359		39.25
BD1201360		37.75
BD1201361		33.95
BD1201362		33.65
BD1201363		42.85
BD1201364		12.7
BD1201365		40.05
BD1201366		39.1
BD1201367		43.55
BD1201368		30
BD1201369		14.6
BD1201370		34.5
BD1201371		29.7
BD1201372		33.95
BD1201373		35
BD1201374		24.3
BD1201375		36.7
BD1201376		32.1
BD1201377		33.6
BD1201378		29.4
BD1201379		24.9
BD1201380		35.65
BD1201381		30.5
BD1201382		23.8
BD1201383		5.95
BD1201384		27.15
BD1201385		33.8
BD1201386		41.85
BD1201387		34.25
BD1201388		57.1
BD1201389		43.8
BD1201390		43.05
BD1201391		38.6
BD1201392		30.05
BD1201393		23.85
BD1201394		34.2
BD1201395		30
BD1201396		24.25
BD1201397		54.9
BD1201398		39.65
BD1201399		26.85
BD1201400		45.55
BD1201401		34.05
BD1201402		32.75
BD1201403		24.35
BD1201404		40.95
BD1201405		31.6
BD1201406		46.3
BD1201407		39.25
BD1201408		25
BD1201409		22.4
BD1201410		29.65
BD1201411		41.65
BD1201412		36.85
BD1201413		31.45
BD1201414		29.8
BD1201415		41.1
BD1201416		34.5
BD1201417		29.05
BD1201418		39.25
BD1201419		38.65
BD1201420		23.15
BD1201421		34.45
BD1201422		38.55
BD1201423		41.1
BD1201424		42.7
BD1201425		38.2
BD1201426		22.5
